ID or #		Start	End	Type	Contig
Tb927.4.740		205296	206958	complete	NODE_11_length_179448_cov_9.996493:127195-128857
Tb927.4.740:mRNA		205296	206958	complete	NODE_11_length_179448_cov_9.996493:127195-128857
exon_Tb927.4.740-E1		205296	206958	complete	NODE_11_length_179448_cov_9.996493:127195-128857
Tb927.4.740:mRNA-p1-CDS1		205463	206758	complete	NODE_11_length_179448_cov_9.996493:127362-128657
utr_Tb927.4.740:mRNA_1		205296	205462	complete	NODE_11_length_179448_cov_9.996493:127195-127361
utr_Tb927.4.740:mRNA_2		206759	206958	complete	NODE_11_length_179448_cov_9.996493:128658-128857
Tb927.9.3540		718165	718658	complete	NODE_135_length_48154_cov_9.975659:22566-22073
Tb927.9.3540:mRNA		718165	718658	complete	NODE_135_length_48154_cov_9.975659:22566-22073
exon_Tb927.9.3540-E1		718165	718658	complete	NODE_135_length_48154_cov_9.975659:22566-22073
Tb927.9.3540:mRNA-p1-CDS1		718167	718520	complete	NODE_135_length_48154_cov_9.975659:22564-22211
utr_Tb927.9.3540:mRNA_1		718165	718166	complete	NODE_135_length_48154_cov_9.975659:22566-22565
utr_Tb927.9.3540:mRNA_2		718521	718658	complete	NODE_135_length_48154_cov_9.975659:22210-22073
Tb10.NT.68		1635495	1635785	complete	NODE_313_length_14886_cov_10.427308:2490-2780
Tb10.NT.68:ncRNA		1635495	1635785	complete	NODE_313_length_14886_cov_10.427308:2490-2780
exon_Tb10.NT.68-E1		1635495	1635785	complete	NODE_313_length_14886_cov_10.427308:2490-2780
Tb927_10_v4.snoRNA.0022:snoRNA		2784861	2784930	complete	NODE_43_length_104881_cov_10.187827:77488-77557
Tb927_10_v4.snoRNA.0022:snoRNA:snoRNA		2784861	2784930	complete	NODE_43_length_104881_cov_10.187827:77488-77557
exon_Tb927_10_v4.snoRNA.0022:snoRNA-E1		2784861	2784930	complete	NODE_43_length_104881_cov_10.187827:77488-77557
Tb927.8.7110		2048385	2049994	complete	NODE_256_length_19072_cov_9.595315:9131-7522
Tb927.8.7110:mRNA		2048385	2049994	complete	NODE_256_length_19072_cov_9.595315:9131-7522
exon_Tb927.8.7110-E1		2048385	2049994	complete	NODE_256_length_19072_cov_9.595315:9131-7522
Tb927.8.7110:mRNA-p1-CDS1		2048672	2049994	complete	NODE_256_length_19072_cov_9.595315:8844-7522
utr_Tb927.8.7110:mRNA_1		2048385	2048671	complete	NODE_256_length_19072_cov_9.595315:9131-8845
Tb927.11.5100		1457741	1460531	complete	NODE_3_length_302306_cov_9.971508:75750-78540
Tb927.11.5100:mRNA		1457741	1460531	complete	NODE_3_length_302306_cov_9.971508:75750-78540
exon_Tb927.11.5100-E1		1457741	1460531	complete	NODE_3_length_302306_cov_9.971508:75750-78540
Tb927.11.5100:mRNA-p1-CDS1		1457838	1460531	complete	NODE_3_length_302306_cov_9.971508:75847-78540
utr_Tb927.11.5100:mRNA_1		1457741	1457837	complete	NODE_3_length_302306_cov_9.971508:75750-75846
Tb927.9.12440		1944831	1945665	complete	NODE_21_length_151929_cov_10.138345:18279-17445
Tb927.9.12440:mRNA		1944831	1945665	complete	NODE_21_length_151929_cov_10.138345:18279-17445
exon_Tb927.9.12440-E1		1944831	1945665	complete	NODE_21_length_151929_cov_10.138345:18279-17445
Tb927.9.12440:mRNA-p1-CDS1		1944908	1945609	complete	NODE_21_length_151929_cov_10.138345:18202-17501
utr_Tb927.9.12440:mRNA_1		1944831	1944907	complete	NODE_21_length_151929_cov_10.138345:18279-18203
utr_Tb927.9.12440:mRNA_2		1945610	1945665	complete	NODE_21_length_151929_cov_10.138345:17500-17445
Tb927.11.3770		1110233	1111488	complete	NODE_33_length_117142_cov_9.639704:78946-77691
Tb927.11.3770:mRNA		1110233	1111488	complete	NODE_33_length_117142_cov_9.639704:78946-77691
exon_Tb927.11.3770-E1		1110233	1111488	complete	NODE_33_length_117142_cov_9.639704:78946-77691
Tb927.11.3770:mRNA-p1-CDS1		1110371	1111159	complete	NODE_33_length_117142_cov_9.639704:78808-78020
utr_Tb927.11.3770:mRNA_1		1110233	1110370	complete	NODE_33_length_117142_cov_9.639704:78946-78809
utr_Tb927.11.3770:mRNA_2		1111160	1111488	complete	NODE_33_length_117142_cov_9.639704:78019-77691
Tb927.11.1190		348604	350308	complete	NODE_40_length_107684_cov_9.610471:16001-17705
Tb927.11.1190:mRNA		348604	350308	complete	NODE_40_length_107684_cov_9.610471:16001-17705
exon_Tb927.11.1190-E1		348604	350308	complete	NODE_40_length_107684_cov_9.610471:16001-17705
Tb927.11.1190:mRNA-p1-CDS1		348638	349987	complete	NODE_40_length_107684_cov_9.610471:16035-17384
utr_Tb927.11.1190:mRNA_1		348604	348637	complete	NODE_40_length_107684_cov_9.610471:16001-16034
utr_Tb927.11.1190:mRNA_2		349988	350308	complete	NODE_40_length_107684_cov_9.610471:17385-17705
Tb927.8.5560		1638632	1640521	complete	NODE_5_length_272023_cov_10.029418:18080-19969
Tb927.8.5560:mRNA		1638632	1640521	complete	NODE_5_length_272023_cov_10.029418:18080-19969
exon_Tb927.8.5560-E1		1638632	1640521	complete	NODE_5_length_272023_cov_10.029418:18080-19969
Tb927.8.5560:mRNA-p1-CDS1		1638752	1640353	complete	NODE_5_length_272023_cov_10.029418:18200-19801
utr_Tb927.8.5560:mRNA_1		1638632	1638751	complete	NODE_5_length_272023_cov_10.029418:18080-18199
utr_Tb927.8.5560:mRNA_2		1640354	1640521	complete	NODE_5_length_272023_cov_10.029418:19802-19969
Tb927.11.10610		2824357	2827611	complete	NODE_1_length_313212_cov_10.820384:124416-121162
Tb927.11.10610:mRNA		2824357	2827611	complete	NODE_1_length_313212_cov_10.820384:124416-121162
exon_Tb927.11.10610-E1		2824357	2827611	complete	NODE_1_length_313212_cov_10.820384:124416-121162
Tb927.11.10610:mRNA-p1-CDS1		2824423	2827245	complete	NODE_1_length_313212_cov_10.820384:124350-121528
utr_Tb927.11.10610:mRNA_1		2824357	2824422	complete	NODE_1_length_313212_cov_10.820384:124416-124351
utr_Tb927.11.10610:mRNA_2		2827246	2827611	complete	NODE_1_length_313212_cov_10.820384:121527-121162
Tb927.8.6980		2010270	2012924	partial	NODE_2367_length_2327_cov_10.171556:1922-1,NODE_8694_length_552_cov_10.385263:552-376
Tb927.8.6980:mRNA		2010270	2012924	partial	NODE_2367_length_2327_cov_10.171556:1922-1,NODE_8694_length_552_cov_10.385263:552-376
exon_Tb927.8.6980-E1		2010270	2012924	partial	NODE_2367_length_2327_cov_10.171556:1922-1,NODE_8694_length_552_cov_10.385263:552-376
Tb927.8.6980:mRNA-p1-CDS1		2010423	2012924	partial	NODE_2367_length_2327_cov_10.171556:1769-1,NODE_8694_length_552_cov_10.385263:552-376
utr_Tb927.8.6980:mRNA_1		2010270	2010422	complete	NODE_2367_length_2327_cov_10.171556:1922-1770
Tb927.4.1040		279831	280775	complete	NODE_133_length_49129_cov_10.172205:28159-27215
Tb927.4.1040:mRNA		279831	280775	complete	NODE_133_length_49129_cov_10.172205:28159-27215
exon_Tb927.4.1040-E1		279831	280775	complete	NODE_133_length_49129_cov_10.172205:28159-27215
Tb927.4.1040:mRNA-p1-CDS1		280221	280721	complete	NODE_133_length_49129_cov_10.172205:27769-27269
utr_Tb927.4.1040:mRNA_1		279831	280220	complete	NODE_133_length_49129_cov_10.172205:28159-27770
utr_Tb927.4.1040:mRNA_2		280722	280775	complete	NODE_133_length_49129_cov_10.172205:27268-27215
Tb927.10.7330		1850502	1851033	complete	NODE_71_length_79478_cov_10.343635:37490-36959
Tb927.10.7330:mRNA		1850502	1851033	complete	NODE_71_length_79478_cov_10.343635:37490-36959
exon_Tb927.10.7330-E1		1850502	1851033	complete	NODE_71_length_79478_cov_10.343635:37490-36959
Tb927.10.7330:mRNA-p1-CDS1		1850607	1851020	complete	NODE_71_length_79478_cov_10.343635:37385-36972
utr_Tb927.10.7330:mRNA_1		1850502	1850606	complete	NODE_71_length_79478_cov_10.343635:37490-37386
utr_Tb927.10.7330:mRNA_2		1851021	1851033	complete	NODE_71_length_79478_cov_10.343635:36971-36959
Tb927.11.9990		2690441	2692443	complete	NODE_1_length_313212_cov_10.820384:257889-255887
Tb927.11.9990:mRNA		2690441	2692443	complete	NODE_1_length_313212_cov_10.820384:257889-255887
exon_Tb927.11.9990-E1		2690441	2692443	complete	NODE_1_length_313212_cov_10.820384:257889-255887
Tb927.11.9990:mRNA-p1-CDS1		2691372	2692295	complete	NODE_1_length_313212_cov_10.820384:256958-256035
utr_Tb927.11.9990:mRNA_1		2690441	2691371	complete	NODE_1_length_313212_cov_10.820384:257889-256959
utr_Tb927.11.9990:mRNA_2		2692296	2692443	complete	NODE_1_length_313212_cov_10.820384:256034-255887
Tb927.7.7430		2134907	2136889	complete	NODE_224_length_22605_cov_18.247026:16692-14710
Tb927.7.7430:mRNA		2134907	2136889	complete	NODE_224_length_22605_cov_18.247026:16692-14710
exon_Tb927.7.7430-E1		2134907	2136889	complete	NODE_224_length_22605_cov_18.247026:16692-14710
Tb927.7.7430:mRNA-p1-CDS1		2135097	2136851	complete	NODE_224_length_22605_cov_18.247026:16502-14748
utr_Tb927.7.7430:mRNA_1		2134907	2135096	complete	NODE_224_length_22605_cov_18.247026:16692-16503
utr_Tb927.7.7430:mRNA_2		2136852	2136889	complete	NODE_224_length_22605_cov_18.247026:14747-14710
Tb927.11.7440		2092904	2093490	complete	NODE_99_length_63030_cov_9.939272:45314-45900
Tb927.11.7440:mRNA		2092904	2093490	complete	NODE_99_length_63030_cov_9.939272:45314-45900
exon_Tb927.11.7440-E1		2092904	2093490	complete	NODE_99_length_63030_cov_9.939272:45314-45900
Tb927.11.7440:mRNA-p1-CDS1		2092912	2093490	complete	NODE_99_length_63030_cov_9.939272:45322-45900
utr_Tb927.11.7440:mRNA_1		2092904	2092911	complete	NODE_99_length_63030_cov_9.939272:45314-45321
Tb927.1.820		254295	256475	complete	NODE_154_length_40306_cov_9.603420:9407-11587
Tb927.1.820:mRNA		254295	256475	complete	NODE_154_length_40306_cov_9.603420:9407-11587
exon_Tb927.1.820-E1		254295	256475	complete	NODE_154_length_40306_cov_9.603420:9407-11587
Tb927.1.820:mRNA-p1-CDS1		254856	256136	complete	NODE_154_length_40306_cov_9.603420:9968-11248
utr_Tb927.1.820:mRNA_1		254295	254855	complete	NODE_154_length_40306_cov_9.603420:9407-9967
utr_Tb927.1.820:mRNA_2		256137	256475	complete	NODE_154_length_40306_cov_9.603420:11249-11587
Tb927.11.3130		890533	893699	partial	NODE_183_length_31848_cov_9.500299:12138-13021,NODE_183_length_31848_cov_9.500299:14637-15305
Tb927.11.3130:mRNA		890533	893699	partial	NODE_183_length_31848_cov_9.500299:12138-13021,NODE_183_length_31848_cov_9.500299:14637-15305
exon_Tb927.11.3130-E1		890533	893699	partial	NODE_183_length_31848_cov_9.500299:12138-13021,NODE_183_length_31848_cov_9.500299:14637-15305
Tb927.11.3130:mRNA-p1-CDS1		891536	893461	partial	NODE_183_length_31848_cov_9.500299:14637-15067
utr_Tb927.11.3130:mRNA_1		890533	891535	partial	NODE_183_length_31848_cov_9.500299:12138-13021
utr_Tb927.11.3130:mRNA_2		893462	893699	complete	NODE_183_length_31848_cov_9.500299:15068-15305
Tb927.11.18990		121739	124713	partial	NODE_2037_length_2768_cov_13.752137:1833-1693,NODE_796_length_6129_cov_22.835592:5328-5190,NODE_520_length_8880_cov_5.712484:149-2562,NODE_3395_length_1517_cov_9.155556:799-487,NODE_796_length_6129_cov_22.835592:4764-4642,NODE_3395_length_1517_cov_9.155556:486-33,NODE_6542_length_731_cov_5.400612:1-344
Tb927.11.18990:pseudogenic_transcript		121739	124713	partial	NODE_2037_length_2768_cov_13.752137:1833-1693,NODE_796_length_6129_cov_22.835592:5328-5190,NODE_520_length_8880_cov_5.712484:149-2562,NODE_3395_length_1517_cov_9.155556:799-487,NODE_796_length_6129_cov_22.835592:4764-4642,NODE_3395_length_1517_cov_9.155556:486-33,NODE_6542_length_731_cov_5.400612:1-344
exon_Tb927.11.18990-E1		121739	124713	partial	NODE_2037_length_2768_cov_13.752137:1833-1693,NODE_796_length_6129_cov_22.835592:5328-5190,NODE_520_length_8880_cov_5.712484:149-2562,NODE_3395_length_1517_cov_9.155556:799-487,NODE_796_length_6129_cov_22.835592:4764-4642,NODE_3395_length_1517_cov_9.155556:486-33,NODE_6542_length_731_cov_5.400612:1-344
Tb927.11.18990:pseudogenic_transcript-p1-CDS1		123118	124713	complete	NODE_520_length_8880_cov_5.712484:967-2562
utr_Tb927.11.18990:pseudogenic_transcript_1		121739	123117	partial	NODE_2037_length_2768_cov_13.752137:1833-1693,NODE_796_length_6129_cov_22.835592:5328-5190,NODE_520_length_8880_cov_5.712484:149-966,NODE_3395_length_1517_cov_9.155556:799-487,NODE_796_length_6129_cov_22.835592:4764-4642,NODE_3395_length_1517_cov_9.155556:486-247
Tb927.8.2640		778840	782385	complete	NODE_22_length_148443_cov_9.639789:65816-62271
Tb927.8.2640:mRNA		778840	782385	complete	NODE_22_length_148443_cov_9.639789:65816-62271
exon_Tb927.8.2640-E1		778840	782385	complete	NODE_22_length_148443_cov_9.639789:65816-62271
Tb927.8.2640:mRNA-p1-CDS1		779218	782385	complete	NODE_22_length_148443_cov_9.639789:65438-62271
utr_Tb927.8.2640:mRNA_1		778840	779217	complete	NODE_22_length_148443_cov_9.639789:65816-65439
Tb927.4.5200		1418353	1420384	partial	NODE_1520_length_3595_cov_11.254690:2410-3595,NODE_914_length_5442_cov_9.568127:5442-5178
Tb927.4.5200:mRNA		1418353	1420384	partial	NODE_1520_length_3595_cov_11.254690:2410-3595,NODE_914_length_5442_cov_9.568127:5442-5178
exon_Tb927.4.5200-E1		1418353	1420384	partial	NODE_1520_length_3595_cov_11.254690:2410-3595,NODE_914_length_5442_cov_9.568127:5442-5178
Tb927.4.5200:mRNA-p1-CDS1		1418433	1420358	partial	NODE_1520_length_3595_cov_11.254690:2490-3595,NODE_914_length_5442_cov_9.568127:5442-5204
utr_Tb927.4.5200:mRNA_1		1418353	1418432	complete	NODE_1520_length_3595_cov_11.254690:2410-2489
utr_Tb927.4.5200:mRNA_2		1420359	1420384	complete	NODE_914_length_5442_cov_9.568127:5203-5178
Tb927.9.12490		1951118	1955671	complete	NODE_21_length_151929_cov_10.138345:11791-7238
Tb927.9.12490:mRNA		1951118	1955671	complete	NODE_21_length_151929_cov_10.138345:11791-7238
exon_Tb927.9.12490-E1		1951118	1955671	complete	NODE_21_length_151929_cov_10.138345:11791-7238
Tb927.9.12490:mRNA-p1-CDS1		1951229	1955068	complete	NODE_21_length_151929_cov_10.138345:11680-7841
utr_Tb927.9.12490:mRNA_1		1951118	1951228	complete	NODE_21_length_151929_cov_10.138345:11791-11681
utr_Tb927.9.12490:mRNA_2		1955069	1955671	complete	NODE_21_length_151929_cov_10.138345:7840-7238
utr_Tb927.6.5490:pseudogenic_transcript_1		1525213	1525221	complete	NODE_8973_length_539_cov_14.664502:71-79
Tb927.10.11400		2778268	2779928	complete	NODE_43_length_104881_cov_10.187827:70895-72555
Tb927.10.11400:mRNA		2778268	2779928	complete	NODE_43_length_104881_cov_10.187827:70895-72555
exon_Tb927.10.11400-E1		2778268	2779928	complete	NODE_43_length_104881_cov_10.187827:70895-72555
Tb927.10.11400:mRNA-p1-CDS1		2778340	2779857	complete	NODE_43_length_104881_cov_10.187827:70967-72484
utr_Tb927.10.11400:mRNA_1		2778268	2778339	complete	NODE_43_length_104881_cov_10.187827:70895-70966
utr_Tb927.10.11400:mRNA_2		2779858	2779928	complete	NODE_43_length_104881_cov_10.187827:72485-72555
Tb927.4.5210		1420657	1421100	complete	NODE_914_length_5442_cov_9.568127:4905-4462
Tb927.4.5210:mRNA		1420657	1421100	complete	NODE_914_length_5442_cov_9.568127:4905-4462
exon_Tb927.4.5210-E1		1420657	1421100	complete	NODE_914_length_5442_cov_9.568127:4905-4462
Tb927.4.5210:mRNA-p1-CDS1		1420657	1420911	complete	NODE_914_length_5442_cov_9.568127:4905-4651
utr_Tb927.4.5210:mRNA_1		1420912	1421100	complete	NODE_914_length_5442_cov_9.568127:4650-4462
Tb927.1.3130		683008	684631	complete	NODE_151_length_42321_cov_11.737288:36169-37792
Tb927.1.3130:mRNA		683008	684631	complete	NODE_151_length_42321_cov_11.737288:36169-37792
exon_Tb927.1.3130-E1		683008	684631	complete	NODE_151_length_42321_cov_11.737288:36169-37792
Tb927.1.3130:mRNA-p1-CDS1		683132	684631	complete	NODE_151_length_42321_cov_11.737288:36293-37792
utr_Tb927.1.3130:mRNA_1		683008	683131	complete	NODE_151_length_42321_cov_11.737288:36169-36292
Tb927.6.2710		812157	815741	complete	NODE_10_length_206141_cov_10.340321:30769-34353
Tb927.6.2710:mRNA		812157	815741	complete	NODE_10_length_206141_cov_10.340321:30769-34353
exon_Tb927.6.2710-E1		812157	815741	complete	NODE_10_length_206141_cov_10.340321:30769-34353
Tb927.6.2710:mRNA-p1-CDS1		812991	815276	complete	NODE_10_length_206141_cov_10.340321:31603-33888
utr_Tb927.6.2710:mRNA_1		812157	812990	complete	NODE_10_length_206141_cov_10.340321:30769-31602
utr_Tb927.6.2710:mRNA_2		815277	815741	complete	NODE_10_length_206141_cov_10.340321:33889-34353
Tb927.11.9295		2555051	2555511	complete	NODE_195_length_28461_cov_9.801614:15632-15172
Tb927.11.9295:mRNA		2555051	2555511	complete	NODE_195_length_28461_cov_9.801614:15632-15172
exon_Tb927.11.9295-E1		2555051	2555511	complete	NODE_195_length_28461_cov_9.801614:15632-15172
Tb927.11.9295:mRNA-p1-CDS1		2555142	2555432	complete	NODE_195_length_28461_cov_9.801614:15541-15251
utr_Tb927.11.9295:mRNA_1		2555051	2555141	complete	NODE_195_length_28461_cov_9.801614:15632-15542
utr_Tb927.11.9295:mRNA_2		2555433	2555511	complete	NODE_195_length_28461_cov_9.801614:15250-15172
Tb927.11.12000		3220128	3221719	complete	NODE_50_length_97758_cov_9.932259:95473-93882
Tb927.11.12000:mRNA		3220128	3221719	complete	NODE_50_length_97758_cov_9.932259:95473-93882
exon_Tb927.11.12000-E1		3220128	3221719	complete	NODE_50_length_97758_cov_9.932259:95473-93882
Tb927.11.12000:mRNA-p1-CDS1		3220823	3221719	complete	NODE_50_length_97758_cov_9.932259:94778-93882
utr_Tb927.11.12000:mRNA_1		3220128	3220822	complete	NODE_50_length_97758_cov_9.932259:95473-94779
Tb927.9.4207		797229	797541	complete	NODE_1850_length_3012_cov_17.970358:775-1087
Tb927.9.4207:ncRNA		797229	797541	complete	NODE_1850_length_3012_cov_17.970358:775-1087
exon_Tb927.9.4207-E1		797229	797541	complete	NODE_1850_length_3012_cov_17.970358:775-1087
Tb927.11.11920		3192954	3195411	complete	NODE_62_length_86819_cov_10.126721:11542-9085
Tb927.11.11920:mRNA		3192954	3195411	complete	NODE_62_length_86819_cov_10.126721:11542-9085
exon_Tb927.11.11920-E1		3192954	3195411	complete	NODE_62_length_86819_cov_10.126721:11542-9085
Tb927.11.11920:mRNA-p1-CDS1		3193084	3195411	complete	NODE_62_length_86819_cov_10.126721:11412-9085
utr_Tb927.11.11920:mRNA_1		3192954	3193083	complete	NODE_62_length_86819_cov_10.126721:11542-11413
Tb927.11.18150		4912534	4916213	partial	NODE_2054_length_2750_cov_6.832398:1221-1402,NODE_9841_length_501_cov_11.882075:1-501,NODE_2388_length_2305_cov_6.507181:2305-2157,NODE_2470_length_2215_cov_5.609916:899-2215,NODE_4230_length_1149_cov_12.000000:1-1137
Tb927.11.18150:pseudogenic_transcript		4912534	4916213	partial	NODE_2054_length_2750_cov_6.832398:1221-1402,NODE_9841_length_501_cov_11.882075:1-501,NODE_2388_length_2305_cov_6.507181:2305-2157,NODE_2470_length_2215_cov_5.609916:899-2215,NODE_4230_length_1149_cov_12.000000:1-1137
exon_Tb927.11.18150-E2		4912534	4912723	partial	NODE_2054_length_2750_cov_6.832398:1221-1402
exon_Tb927.11.18150-E1		4912726	4916213	partial	NODE_9841_length_501_cov_11.882075:85-501,NODE_2388_length_2305_cov_6.507181:2305-2157,NODE_2470_length_2215_cov_5.609916:899-2215,NODE_4230_length_1149_cov_12.000000:1-1137
Tb927.11.18150:pseudogenic_transcript-p1-CDS2		4912661	4912723	complete	NODE_9841_length_501_cov_11.882075:20-82
Tb927.11.18150:pseudogenic_transcript-p1-CDS1		4912726	4913319	partial	NODE_9841_length_501_cov_11.882075:85-501,NODE_2388_length_2305_cov_6.507181:2305-2157
utr_Tb927.11.18150:pseudogenic_transcript_1		4912534	4912660	complete	NODE_2054_length_2750_cov_6.832398:1221-1347
utr_Tb927.11.18150:pseudogenic_transcript_2		4913320	4916213	partial	NODE_2470_length_2215_cov_5.609916:899-2215,NODE_4230_length_1149_cov_12.000000:1-1137
Tb927.7.140		7638	9188	partial	NODE_699_length_6834_cov_7.695279:4839-4471,NODE_9085_length_534_cov_4.770241:534-1,NODE_699_length_6834_cov_7.695279:4038-3285
Tb927.7.140:pseudogenic_transcript		7638	9188	partial	NODE_699_length_6834_cov_7.695279:4839-4471,NODE_9085_length_534_cov_4.770241:534-1,NODE_699_length_6834_cov_7.695279:4038-3285
exon_Tb927.7.140-E1		7638	9188	partial	NODE_699_length_6834_cov_7.695279:4839-4471,NODE_9085_length_534_cov_4.770241:534-1,NODE_699_length_6834_cov_7.695279:4038-3285
Tb927.7.140:pseudogenic_transcript-p1-CDS1		7638	9188	partial	NODE_699_length_6834_cov_7.695279:4839-4471,NODE_9085_length_534_cov_4.770241:534-1,NODE_699_length_6834_cov_7.695279:4038-3285
Tb927.11.11340		3030973	3034025	complete	NODE_340_length_13675_cov_20.464480:11896-8844
Tb927.11.11340:mRNA		3030973	3034025	complete	NODE_340_length_13675_cov_20.464480:11896-8844
exon_Tb927.11.11340-E1		3030973	3034025	complete	NODE_340_length_13675_cov_20.464480:11896-8844
Tb927.11.11340:mRNA-p1-CDS1		3030974	3033322	complete	NODE_340_length_13675_cov_20.464480:11895-9547
utr_Tb927.11.11340:mRNA_1		3030973	3030973	complete	NODE_340_length_13675_cov_20.464480:11896-11896
utr_Tb927.11.11340:mRNA_2		3033323	3034025	complete	NODE_340_length_13675_cov_20.464480:9546-8844
Tb927.2.6080		1097566	1099351	complete	NODE_193_length_29049_cov_9.601546:8859-7074
Tb927.2.6080:mRNA		1097566	1099351	complete	NODE_193_length_29049_cov_9.601546:8859-7074
exon_Tb927.2.6080-E1		1097566	1099351	complete	NODE_193_length_29049_cov_9.601546:8859-7074
Tb927.2.6080:mRNA-p1-CDS1		1097579	1099165	complete	NODE_193_length_29049_cov_9.601546:8846-7260
utr_Tb927.2.6080:mRNA_1		1097566	1097578	complete	NODE_193_length_29049_cov_9.601546:8859-8847
utr_Tb927.2.6080:mRNA_2		1099166	1099351	complete	NODE_193_length_29049_cov_9.601546:7259-7074
Tb927.9.18050		3079056	3081514	partial	NODE_660_length_7207_cov_11.096353:2958-3331,NODE_629_length_7468_cov_7.789744:2071-1712,NODE_660_length_7207_cov_11.096353:3332-3520
Tb927.9.18050:mRNA		3079056	3081514	partial	NODE_660_length_7207_cov_11.096353:2958-3331,NODE_629_length_7468_cov_7.789744:2071-1712,NODE_660_length_7207_cov_11.096353:3332-3520
exon_Tb927.9.18050-E1		3079056	3081514	partial	NODE_660_length_7207_cov_11.096353:2958-3331,NODE_629_length_7468_cov_7.789744:2071-1712,NODE_660_length_7207_cov_11.096353:3332-3520
